[Rank 2] 2025-09-07 14:24:29,158 - root - INFO - Creating datasets...
[Rank 2] 2025-09-07 14:24:29,585 - mamba_training.data.dataset_processor - INFO - Initialized DatasetProcessor with tokenizer vocab size: 50257
[Rank 2] 2025-09-07 14:24:29,585 - mamba_training.data.dataset_processor - INFO - Processing dataset: data/train.txt
[Rank 2] 2025-09-07 14:24:43,496 - mamba_training.data.dataset_processor - INFO - Processed 10000/1165029 samples, kept 9622 after filtering
[Rank 2] 2025-09-07 14:24:47,164 - mamba_training.data.dataset_processor - INFO - Processed 20000/1165029 samples, kept 19231 after filtering
[Rank 2] 2025-09-07 14:24:51,049 - mamba_training.data.dataset_processor - INFO - Processed 30000/1165029 samples, kept 28968 after filtering
[Rank 2] 2025-09-07 14:24:54,276 - mamba_training.data.dataset_processor - INFO - Processed 40000/1165029 samples, kept 38465 after filtering
[Rank 2] 2025-09-07 14:24:58,069 - mamba_training.data.dataset_processor - INFO - Processed 50000/1165029 samples, kept 48076 after filtering
[Rank 2] 2025-09-07 14:25:01,559 - mamba_training.data.dataset_processor - INFO - Processed 60000/1165029 samples, kept 57640 after filtering
[Rank 2] 2025-09-07 14:25:05,089 - mamba_training.data.dataset_processor - INFO - Processed 70000/1165029 samples, kept 67228 after filtering
[Rank 2] 2025-09-07 14:25:08,962 - mamba_training.data.dataset_processor - INFO - Processed 80000/1165029 samples, kept 76793 after filtering
[Rank 2] 2025-09-07 14:25:12,356 - mamba_training.data.dataset_processor - INFO - Processed 90000/1165029 samples, kept 86394 after filtering
[Rank 2] 2025-09-07 14:25:15,954 - mamba_training.data.dataset_processor - INFO - Processed 100000/1165029 samples, kept 95979 after filtering
[Rank 2] 2025-09-07 14:25:19,547 - mamba_training.data.dataset_processor - INFO - Processed 110000/1165029 samples, kept 105635 after filtering
[Rank 2] 2025-09-07 14:25:23,954 - mamba_training.data.dataset_processor - INFO - Processed 120000/1165029 samples, kept 115334 after filtering
[Rank 2] 2025-09-07 14:25:27,520 - mamba_training.data.dataset_processor - INFO - Processed 130000/1165029 samples, kept 124870 after filtering
[Rank 2] 2025-09-07 14:25:31,261 - mamba_training.data.dataset_processor - INFO - Processed 140000/1165029 samples, kept 134494 after filtering
[Rank 2] 2025-09-07 14:25:35,013 - mamba_training.data.dataset_processor - INFO - Processed 150000/1165029 samples, kept 144193 after filtering
[Rank 2] 2025-09-07 14:25:39,073 - mamba_training.data.dataset_processor - INFO - Processed 160000/1165029 samples, kept 153750 after filtering
[Rank 2] 2025-09-07 14:25:42,711 - mamba_training.data.dataset_processor - INFO - Processed 170000/1165029 samples, kept 163318 after filtering
[Rank 2] 2025-09-07 14:25:46,454 - mamba_training.data.dataset_processor - INFO - Processed 180000/1165029 samples, kept 173033 after filtering
[Rank 2] 2025-09-07 14:25:50,174 - mamba_training.data.dataset_processor - INFO - Processed 190000/1165029 samples, kept 182666 after filtering
